RefDes     X          Y          Rot.       Exact     (FREE)    Side
C420       1613.0026  874.0009   090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C421       1220.0026  510.0002   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C422       1613.1026  964.2002   270        EXACT     (FREE)    L8_BOTTOM_SIDE                
C423       1958.0026  1099.0009  090        EXACT     (FREE)    L8_BOTTOM_SIDE                
C424       1672.0026  671.0002   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C425       1993.1026  582.6009   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C426       1517.6026  982.9002   000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C427       3425.0026  2539.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C428       3280.0026  2097.0002  090        EXACT     (FREE)    L1_TOP_SIDE                   
C430       3225.0026  3875.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C431       5345.0026  2460.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C432       4110.0026  2665.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C433       2900.0000  4590.0000  180        EXACT     (FREE)    L1_TOP_SIDE                   
C434       4296.0026  2969.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C435       4110.0026  1765.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C436       4295.0026  2115.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C437       4110.0026  2065.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C438       4295.0026  1160.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C439       4110.0026  2715.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
C440       4295.0026  1815.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C441       3645.0026  1305.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C442       3645.0026  1215.0002  180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C443       3625.0026  1035.0002  000        EXACT     (FREE)    L8_BOTTOM_SIDE                
C444       3625.0026  945.0002   180        EXACT     (FREE)    L8_BOTTOM_SIDE                
C445       3645.0026  1215.0002  180        EXACT     (FREE)    L1_TOP_SIDE                   
C446       3645.0026  1305.0002  000        EXACT     (FREE)    L1_TOP_SIDE                   
