*PADS-ECO-V9.0.1-MILS*
*REMARK*  old file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3-156406.asc
*REMARK*  new file: D:\Vijay\SVN\NGP_ODC\PDLC\Prodigy HW files\IES\Rev3\Schematics\18-IES-NGP_rev3.asc
*REMARK*  created by ECOGEN (Version 6.4v) on 7/25/2012 3:27:57 PM

PART DIFFERENCES
----------------
OLD DESIGN                                        NEW DESIGN
Ref-des	Part-type:Decal                           Ref-des	Part-type:Decal
C125   CAP_10UF_6.3V_0805                         C125   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C157   CAP_10UF_6.3V_0805                         C157   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C162   CAP_10UF_6.3V_0805                         C162   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C194   CAP_10UF_6.3V_0805                         C194   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C199   CAP_10UF_6.3V_0805                         C199   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C231   CAP_10UF_6.3V_0805                         C231   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C233   CAP_10UF_6.3V_0805                         C233   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C256   CAP_10UF_6.3V_0805                         C256   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C267   CAP_10UF_6.3V_0805                         C267   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C268   CAP_10UF_6.3V_0805                         C268   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C294   CAP_10UF_6.3V_0805                         C294   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C298   CAP_10UF_6.3V_0805                         C298   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C3   CAP_10UF_6.3V_0805                           C3   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C33   CAP_10UF_6.3V_0805                          C33   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C35   CAP_10UF_6.3V_0805                          C35   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C43   CAP_10UF_6.3V_0805                          C43   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C44   CAP_10UF_6.3V_0805                          C44   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C54   CAP_10UF_6.3V_0805                          C54   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C86   CAP_10UF_6.3V_0805                          C86   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C88   CAP_10UF_6.3V_0805                          C88   CAP-10UF-25V-0805-10%-GRM21BR61E106KA73L
C123   CAP_12PF_50V_0603:0603                     C123   CAP-20PF-50V-0603-5%-06035A200JAT4A:C0603
C124   CAP_12PF_50V_0603:0603                     C124   CAP-20PF-50V-0603-5%-06035A200JAT4A:C0603
C160   CAP_12PF_50V_0603:0603                     C160   CAP-20PF-50V-0603-5%-06035A200JAT4A:C0603
C161   CAP_12PF_50V_0603:0603                     C161   CAP-20PF-50V-0603-5%-06035A200JAT4A:C0603
C197   CAP_12PF_50V_0603:0603                     C197   CAP-20PF-50V-0603-5%-06035A200JAT4A:C0603
C198   CAP_12PF_50V_0603:0603                     C198   CAP-20PF-50V-0603-5%-06035A200JAT4A:C0603
C269   CAP_12PF_50V_0603:0603                     C269   CAP-20PF-50V-0603-5%-06035A200JAT4A:C0603
C270   CAP_12PF_50V_0603:0603                     C270   CAP-20PF-50V-0603-5%-06035A200JAT4A:C0603
C48   CAP_12PF_50V_0603:0603                      C48   CAP-20PF-50V-0603-5%-06035A200JAT4A:C0603
C49   CAP_12PF_50V_0603:0603                      C49   CAP-20PF-50V-0603-5%-06035A200JAT4A:C0603
C52   CAP_12PF_50V_0603:0603                      C52   CAP-20PF-50V-0603-5%-06035A200JAT4A:C0603
C53   CAP_12PF_50V_0603:0603                      C53   CAP-20PF-50V-0603-5%-06035A200JAT4A:C0603
C247   CAP_1NF_50V_CAP-C0805                      C247   CAP-1000PF-50V-0805-10%-08055C102KAT2A
C300   CAP_1NF_50V_CAP-C0805                      C300   CAP-1000PF-50V-0805-10%-08055C102KAT2A
C301   CAP_1NF_50V_CAP-C0805                      C301   CAP-1000PF-50V-0805-10%-08055C102KAT2A
C45   CAP_1NF_50V_CAP-C0805                       C45   CAP-1000PF-50V-0805-10%-08055C102KAT2A
C46   CAP_1NF_50V_CAP-C0805                       C46   CAP-1000PF-50V-0805-10%-08055C102KAT2A
C10   CAP_220PF_50V_0603:0603                     C10   CAP-220PF-50V-0603-20%-C0603C221M5RACTU:C0603
C11   CAP_220PF_50V_0603:0603                     C11   CAP-220PF-50V-0603-20%-C0603C221M5RACTU:C0603
C110   CAP_220PF_50V_0603:0603                    C110   CAP-220PF-50V-0603-20%-C0603C221M5RACTU:C0603
C111   CAP_220PF_50V_0603:0603                    C111   CAP-220PF-50V-0603-20%-C0603C221M5RACTU:C0603
C112   CAP_220PF_50V_0603:0603                    C112   CAP-220PF-50V-0603-20%-C0603C221M5RACTU:C0603
C113   CAP_220PF_50V_0603:0603                    C113   CAP-220PF-50V-0603-20%-C0603C221M5RACTU:C0603
C114   CAP_220PF_50V_0603:0603                    C114   CAP-220PF-50V-0603-20%-C0603C221M5RACTU:C0603
C115   CAP_220PF_50V_0603:0603                    C115   CAP-220PF-50V-0603-20%-C0603C221M5RACTU:C0603
C116   CAP_220PF_50V_0603:0603                    C116   CAP-220PF-50V-0603-20%-C0603C221M5RACTU:C0603
C117   CAP_220PF_50V_0603:0603                    C117   CAP-220PF-50V-0603-20%-C0603C221M5RACTU:C0603
C118   CAP_220PF_50V_0603:0603                    C118   CAP-220PF-50V-0603-20%-C0603C221M5RACTU:C0603
